Uttar Pradesh,199812341,75
Maharashtra,112374333,36
Bihar,104099452,38
West Bengal,91276115,23
Madhya Pradesh,72626809,55
Tamil Nadu,72147030,38
Rajasthan,68548437,50
Karnataka,61095297,31
Gujarat,60439692,33
Andhra Pradesh,49577103,13
Odisha,41974219,30
Telangana,35003674,33
Kerala,33406061,14
Jharkhand,32988134,24
Assam,31205576,33
Punjab,27743338,22
Chhattisgarh,25545198,27
Haryana,25351462,22
Uttarakhand,10086292,13
Himachal Pradesh,6864602,12
Tripura,3673917,8
Meghalaya,2966889,11
Manipur,2570390,16
Nagaland,1978502,11
Goa,1458545,2
Arunachal Pradesh,1383727,26
Mizoram,1097206,8
Sikkim,610577,4
Central,1177904918,708
